Source,Target,Weight
黛玉,宝玉,3616
黛玉,迎春,120
黛玉,探春,613
黛玉,惜春,138
黛玉,李纨,360
黛玉,宝钗,899
黛玉,凤姐,297
黛玉,元春,9
黛玉,湘云,531
黛玉,巧姐,1
黛玉,妙玉,115
黛玉,秦氏,3
宝玉,黛玉,3616
宝玉,探春,1186
宝玉,迎春,298
宝玉,惜春,408
宝玉,宝钗,2812
宝玉,秦氏,130
宝玉,李纨,620
宝玉,凤姐,1844
宝玉,元春,37
宝玉,湘云,868
宝玉,巧姐,47
宝玉,妙玉,527
元春,迎春,5
元春,探春,8
元春,惜春,5
元春,宝玉,37
元春,黛玉,9
元春,宝钗,14
元春,湘云,1
元春,凤姐,3
元春,李纨,1
迎春,元春,5
迎春,探春,180
迎春,惜春,52
迎春,黛玉,120
迎春,宝玉,298
迎春,宝钗,161
迎春,李纨,67
迎春,凤姐,171
迎春,巧姐,2
迎春,湘云,88
迎春,妙玉,2
迎春,秦氏,2
探春,元春,8
探春,迎春,180
探春,惜春,163
探春,黛玉,613
探春,宝玉,1186
探春,宝钗,372
探春,李纨,371
探春,湘云,345
探春,凤姐,445
探春,巧姐,4
探春,妙玉,4
惜春,元春,5
惜春,迎春,52
惜春,探春,163
惜春,黛玉,138
惜春,宝玉,408
惜春,宝钗,121
惜春,李纨,139
惜春,凤姐,242
惜春,巧姐,2
惜春,湘云,73
惜春,妙玉,289
李纨,黛玉,360
李纨,宝玉,620
李纨,迎春,67
李纨,探春,371
李纨,凤姐,236
李纨,宝钗,243
李纨,湘云,144
李纨,惜春,139
李纨,巧姐,3
李纨,妙玉,23
李纨,元春,1
宝钗,黛玉,899
宝钗,迎春,161
宝钗,宝玉,2812
宝钗,探春,372
宝钗,惜春,121
宝钗,凤姐,358
宝钗,李纨,243
宝钗,元春,14
宝钗,湘云,483
宝钗,巧姐,39
宝钗,妙玉,120
秦氏,宝玉,130
秦氏,凤姐,81
秦氏,黛玉,3
秦氏,迎春,2
凤姐,李纨,236
凤姐,黛玉,297
凤姐,宝玉,1844
凤姐,秦氏,81
凤姐,迎春,171
凤姐,宝钗,358
凤姐,湘云,164
凤姐,探春,445
凤姐,惜春,242
凤姐,巧姐,64
凤姐,元春,3
凤姐,妙玉,21
妙玉,宝玉,527
妙玉,宝钗,120
妙玉,黛玉,115
妙玉,李纨,23
妙玉,湘云,9
妙玉,惜春,289
妙玉,探春,4
妙玉,凤姐,21
妙玉,迎春,2
妙玉,巧姐,1
湘云,黛玉,531
湘云,宝玉,868
湘云,宝钗,483
湘云,李纨,144
湘云,凤姐,164
湘云,探春,345
湘云,元春,1
湘云,迎春,88
湘云,惜春,73
湘云,妙玉,9
巧姐,宝钗,39
巧姐,迎春,2
巧姐,探春,4
巧姐,惜春,2
巧姐,李纨,3
巧姐,凤姐,64
巧姐,宝玉,47
巧姐,黛玉,1
巧姐,妙玉,1
